	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
alpha-CEHC	0.191211081962918	0.273959720103812
1-cyano-8-(methylsulfinyl)octane	0.143354340598094	0.324818220585523
1-Hexadecylamine	-0.391892522273125	0.0813174512762497
Alline	-0.369309000795347	0.0392932319641694
N-acetyltryptophan	-0.212892421950333	0.112564439264437
3-(4-hydroxyphenyl)lactic acid	0.154795354637389	0.183143251758887
dopamine	-0.160123128238535	0.33758077209753
12-aminododecanoic acid	-0.0565751328103152	0.625878472861267
hexadecanamide	-0.142711507508889	0.103473790090514
3-(indol-3-yl)lactic acid	-0.0979769079586085	0.420288335528785
palmitoyl ethanolamide	-0.21073429313759	0.125394670511826
n-Dimethylarginine	0.253636789564504	0.07937505278143
N-hexadecanoylglycine	-0.123367569297858	0.166818896751749
Isochlorogenic acid	-0.119160175818705	0.245630639057535
4-hydroxy-3-methoxycinnamoylagmatine	0.407719862485443	0.0286790379600008
bis(2-ethylhexyl) adipate	-0.0745238720247299	0.530650290397484
glycyl-DL-phenylalanine	-0.208011479846025	0.232624171830865
N-(4-Aminobutyl)-3-(3,4-dihydroxyphenyl)prop-2-enamide	0.217486827462695	0.186846322934406
metribuzin	0.453529279596859	0.0221476495101359
alanyl-leucine	-0.115447600708273	0.372117844765213
hordenine	0.186487483655224	0.252583434671083
pyributicarb	-0.442347482189511	0.0424083384660847
2-hydroxy-4-(methylthio)butanoic acid	-0.0755076377099213	0.564336267792052
sulfometuron methyl	-0.19809907333912	0.166952587393257
2-phenylethylamine	0.017733190838866	0.915111936871136
citric acid	-0.160444001735294	0.0821880749287085
5-Hydroxytryptophol	-0.128244205151148	0.293408714513107
monoethyl phthalate	0.0475346391095971	0.726921249595375
2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	-0.265054363875772	0.16785771426481
glutamic acid	0.0990323663611786	0.367642085276164
beta-D-Ribofuranose, 1-(6-amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-	0.0712973677212839	0.543726425928979
SPB 16:1;2O	-0.15200309344505	0.362439064715585
canadine	0.11260743594199	0.518703914780436
N-undecanoylglycine	0.12033228555704	0.282168196387766
8-amino-7-oxononanoic acid	-0.0616423847441218	0.529333486502814
N,N-bis(2-hydroxyethyl)dodecanamide	-0.20191797576923	0.157285785848445
lombricine	-0.291795297534365	0.00594553174312961
sinapine	0.169925001442312	0.303672704488842
N,N-dimethyltryptamine	0.169925001442312	0.303672704488842
octadecanamide	-0.154525784880118	0.0724746742233
1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	-0.138173325662581	0.222011514196512
ACar 14:1	-0.118619348830512	0.46136557356693
hexaethylene glycol	0.103333047794089	0.460415212532737
SPB 17:1;2O	-0.149892337027255	0.0936581891581407
avobenzone	0.00741407112406667	0.967794327451647
N-methylnicotinic acid	-0.202426458384592	0.0711837560713792
serotonin	0.102104230362676	0.559365174395622
hypoxanthine	0.10039686622479	0.524805809780455
epinine	0.134016951869565	0.384567020560371
histidine	0.183341271590564	0.121531848099219
p-coumaroylagmatine	0.380747056368315	0.017482174740186
Valyl-Proline	-0.131529918795529	0.316690135080605
N-(6-aminohexanoyl)-6-aminohexanoic acid	0.461549710198788	0.0253186574885931
Arphamenine B	0.332518948702908	0.0317516450334217
h-gamma-Glu-leu-oh	-0.1080155289833	0.482192951715908
N-malonyltryptophan	-0.0973400205037925	0.515208263016874
sulforaphane	0.219704241780813	0.0749377854378361
4-(trimethylammonio)butanoic acid	-0.082561424220551	0.626593485844618
N-acetyltyramine	0.0720626407737537	0.538454231129367
agmatine	0.226523259283242	0.103394352086994
N-Acetyl-proline	0.301285902220768	0.0106280540252869
N-methyltryptamine	0.0785059699952977	0.663051483425357
2-(Hydroxymethyl)-6-[4-(3-hydroxyprop-1-enyl)-2,6-dimethoxyphenoxy]oxane-3,4,5-triol	-0.266040733051517	0.0286913343591629
lysine	-0.220714901902328	0.0362115442317635
adenine	-0.0217989507665814	0.896737044486369
glutamine	0.170537320163438	0.251536017420939
Tetrahydroneopterin	0.0723751291213365	0.543476176193912
2-amino-9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one	-0.166683355964183	0.297060373181816
9H-xanthine	0.090702150344622	0.593537365728889
methionine S-oxide	0.0205600075835361	0.909999173878699
Tyrosyl-Proline	-0.000228150319362458	0.998650285149695
salicylic acid	-0.18566504153957	0.118982356320086
S-ethylhomocysteine	-0.0059512245917943	0.95428640113791
acetylagmatine	-0.0287986259320147	0.82916231373515
