CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
99	4336	15	0.8607	-26.016
99	5648	15	0.883	-2.016
3894	4322	15	0.8722	28.032
796	2559	15	0.8651	60.020
3648	4878	15	0.898	15.995
4510	4878	15	0.8989	15.995
4878	5234	15	0.895	-254.101
4878	5267	15	0.8734	-271.127
4878	5622	15	0.8657	-74.037
530	4878	15	0.8899	0.000
933	4878	15	0.9099	15.995
2538	4878	15	0.898	15.995
3770	3894	15	0.8607	0.000
2008	3894	15	0.8666	-56.063
2386	3894	15	0.8612	-56.063
4196	4527	15	0.9083	18.010
4510	4527	15	0.8837	2.016
933	4527	15	0.8627	2.016
2661	4527	15	0.8846	46.042
2904	4527	15	0.8786	-0.000
3145	4527	15	0.8882	36.021
1322	2878	15	0.8625	-162.052
1085	1802	15	0.9289	0.000
1802	1828	15	0.8604	15.995
1802	5212	15	0.8943	-0.000
1638	2904	15	0.8602	18.010
3791	5234	15	0.9421	-162.053
4520	5234	15	0.8839	179.079
4528	5234	15	0.944	17.026
4577	5234	15	0.9185	-162.053
4626	5234	15	0.8925	-162.053
5234	5267	15	0.9362	-17.026
115	5234	15	0.8857	277.240
465	5234	15	0.8942	-162.053
2128	5234	15	0.929	-162.053
3659	3768	15	0.8654	2.016
3673	3768	15	0.8843	2.016
3730	3768	15	0.9361	-0.000
3768	3791	15	0.9007	-75.021
3768	5277	15	1.0	0.000
1812	3768	15	0.9361	-0.000
2128	3768	15	0.9026	75.021
2566	3768	15	0.8727	2.016
3659	5277	15	0.8654	2.016
3673	5277	15	0.8843	2.016
3730	5277	15	0.9361	-0.000
3791	5277	15	0.9007	75.021
1812	5277	15	0.9361	-0.000
2128	5277	15	0.9026	75.021
2566	5277	15	0.8727	2.016
3763	4528	15	0.8606	-28.031
3791	4528	15	0.9335	-179.079
4520	4528	15	0.9094	162.053
4528	4577	15	0.9012	179.079
4528	4626	15	0.8798	179.079
4528	5267	15	0.934	-0.000
115	4528	15	0.8869	260.214
465	4528	15	0.87	-179.079
2128	4528	15	0.9343	-179.079
3145	4196	15	0.871	18.011
2248	2386	15	0.8825	-28.031
3612	3659	15	0.8612	-26.016
3612	3716	15	0.9449	-14.016
1964	3612	15	0.908	-28.031
2063	3612	15	0.9379	56.062
2566	3612	15	0.886	26.016
593	976	15	0.8902	-0.000
593	1828	15	0.8854	0.000
1812	2128	15	0.9022	-75.021
2128	3730	15	0.9022	75.021
2128	3791	15	0.9551	0.000
2128	4577	15	0.9142	0.000
2128	4626	15	0.899	-0.000
2128	5267	15	0.9425	-179.080
115	4577	15	0.861	439.293
115	5267	15	0.9026	260.213
465	2546	15	0.8637	0.000
2546	4577	15	0.8751	0.000
933	5622	15	0.8805	-58.041
1322	5622	15	0.8805	457.304
796	3291	15	0.8922	-0.000
933	3291	15	0.8699	-60.020
2538	3291	15	0.8707	-60.021
3291	3648	15	0.8707	60.021
3291	4510	15	0.9001	60.021
4336	4682	15	0.8917	2.014
976	1085	15	0.8655	-15.995
1085	5212	15	0.9295	-0.000
3791	4626	15	0.899	-0.000
4520	4626	15	0.8606	341.132
4577	4626	15	0.9005	-0.000
4626	5267	15	0.8855	-179.079
465	4626	15	0.8901	-0.000
814	3763	15	0.9128	-179.080
465	4577	15	0.8955	0.000
465	5267	15	0.8787	-179.080
456	4196	15	0.8771	-0.000
4520	5554	15	0.9226	0.000
3659	3673	15	0.9555	0.000
3673	3716	15	0.9015	12.000
1828	3673	15	0.869	-17.026
2008	3673	15	0.8891	0.000
2386	3673	15	0.8754	0.000
2566	3673	15	0.9485	0.000
3893	4177	15	0.9017	0.000
2904	3893	15	0.8613	-28.031
3304	3893	15	0.8836	-28.031
3730	3791	15	0.8921	-75.021
3791	4520	15	0.893	-341.132
3791	4577	15	0.9143	0.000
3791	5267	15	0.9378	-179.080
1812	3791	15	0.8921	-75.021
1964	2063	15	0.917	-84.094
1964	3716	15	0.9008	-42.047
2904	3304	15	0.8705	0.000
2904	5181	15	0.8775	0.000
4520	4577	15	0.865	341.132
4577	5267	15	0.9088	-179.080
2063	3716	15	0.9596	42.047
976	1828	15	0.9173	0.000
1812	2566	15	0.8672	-2.016
1812	3659	15	0.8626	-2.016
1812	3730	15	1.0	0.000
1828	2008	15	0.8726	-17.026
1828	3659	15	0.8675	-17.027
3659	3716	15	0.8903	12.000
3659	3730	15	0.8626	2.016
2008	3659	15	0.8795	-0.000
2566	3659	15	0.9565	0.000
530	933	15	0.8694	-15.995
3648	4510	15	0.9178	-0.000
796	4510	15	0.8786	60.020
933	4510	15	0.8987	0.000
2538	4510	15	0.9178	-0.000
4520	5267	15	0.899	162.052
796	2538	15	0.8754	60.021
933	2538	15	0.8963	0.000
2538	3648	15	1.0	-0.000
796	933	15	0.872	60.020
933	3648	15	0.8963	0.000
2008	3716	15	0.8635	12.000
2566	3716	15	0.8819	12.000
1322	5648	15	0.8954	26.017
796	3648	15	0.8754	60.020
2566	3730	15	0.8672	2.016
2008	2386	15	0.8841	-0.000
352	2381	16	0.7834	42.021
352	3796	16	0.7647	16.006
2381	3796	16	0.8412	-26.015
3128	3796	16	0.9451	-0.000
2381	3128	16	0.8369	-26.015
125	3379	18	0.9372	-15.995
2755	3379	18	0.9601	-0.000
3379	3649	18	0.9504	15.994
3379	4437	18	1.0	0.000
3379	5196	18	1.0	0.000
3379	5298	18	0.9236	-14.016
3379	5602	18	0.9239	-14.016
3379	5620	18	0.964	-0.000
3855	3995	18	0.9315	-0.001
318	3995	18	0.9261	-0.000
3017	3995	18	0.9323	162.052
3649	5620	18	0.943	-15.995
4437	5620	18	0.964	-0.000
5196	5620	18	0.964	-0.000
2755	5620	18	0.9386	-0.000
295	3210	18	0.9466	0.000
3210	5298	18	0.9298	14.017
3210	5602	18	0.9547	14.017
3649	4437	18	0.9504	-15.994
4437	5196	18	1.0	0.000
4437	5298	18	0.9236	-14.016
4437	5602	18	0.9239	-14.016
125	4437	18	0.9372	-15.995
2755	4437	18	0.9601	0.000
3649	5196	18	0.9504	-15.994
125	3649	18	0.9567	-0.000
2755	3649	18	0.929	15.994
318	3017	18	0.9221	-162.052
125	5196	18	0.9372	-15.995
295	3855	18	0.9242	-34.967
318	3855	18	0.9622	0.000
5196	5602	18	0.9239	-14.016
5298	5602	18	0.9774	-0.000
5482	5602	18	0.9371	30.010
295	5602	18	0.9311	14.017
5196	5298	18	0.9236	-14.016
5298	5482	18	0.9299	-30.010
295	5298	18	0.9274	14.017
318	1241	18	0.9249	0.000
2755	5196	18	0.9601	0.000
434	1119	20	0.854	-14.016
1119	2853	20	0.7468	-18.010
1119	4402	20	1.0	0.000
1119	4406	20	0.8889	14.016
752	4406	20	0.7306	489.285
68	4406	20	0.7269	88.052
4041	4406	20	0.7663	-46.042
434	4041	20	0.7807	46.042
3397	4041	20	0.7235	18.010
2853	4402	20	0.7468	18.010
2853	4406	20	0.727	32.026
4402	4406	20	0.8889	14.016
434	4402	20	0.854	-14.016
434	4406	20	0.8921	-0.000
3397	4406	20	0.7769	-28.032
434	3397	20	0.7283	28.031
782	2103	21	0.8295	14.015
782	3313	21	0.8602	46.042
782	3973	21	0.8495	74.073
4189	4920	21	0.861	-72.094
4300	4920	21	0.8701	-70.078
4920	5319	21	0.8528	42.047
861	4920	21	0.8596	-56.062
1393	4920	21	0.8241	-16.031
1948	4920	21	0.8321	-140.156
2293	4920	21	0.871	12.000
2836	4920	21	0.8268	-16.031
449	3313	21	0.8592	-14.015
3313	3973	21	0.9315	28.031
3313	4560	21	0.8561	30.047
3313	5319	21	0.8564	-18.010
449	861	21	0.8599	-18.011
449	3973	21	0.8654	14.016
4300	5319	21	0.8481	-28.031
861	5319	21	0.8589	-14.015
1393	2293	21	0.8262	-28.031
861	2293	21	0.8325	-68.063
2293	2836	21	0.8349	28.032
2293	4189	21	0.8544	84.094
2293	4300	21	0.8702	82.078
3973	4560	21	0.8599	2.016
4189	4560	21	0.871	18.010
3973	4300	21	0.9305	-18.011
