CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
3420	5585	-62.001	0.000	0.8195	0.4500	1
3422	3465	48.146	0.000	0.7380	0.5449	1
3422	3600	268.278	0.000	0.7358	0.5238	1
3422	3790	4.120	0.000	0.7408	0.5141	1
3422	4029	-39.905	0.000	0.7198	0.4618	1
3422	4274	-83.932	0.000	0.7398	0.5080	1
3422	4313	136.198	0.000	0.7708	0.6301	1
3422	4335	285.304	0.000	0.7037	0.3929	1
3423	3543	-59.984	0.000	0.8673	0.6142	1
3423	3550	12.000	0.000	0.7349	0.5608	1
3423	3777	70.078	0.000	0.9255	0.6834	1
3423	3785	128.193	0.000	0.8266	0.5045	1
3423	3821	16.029	0.000	0.8859	0.6377	1
3423	3840	42.046	0.000	0.9190	0.6415	1
3423	3891	54.047	0.000	0.7483	0.6453	1
3423	4050	54.047	0.000	0.9296	0.6453	1
3423	4051	-176.084	0.000	0.8973	0.6281	1
3423	4059	32.062	0.000	0.9193	0.6834	1
3423	4095	-168.189	0.000	0.8978	0.6248	1
3423	4123	42.047	0.000	0.7553	0.6453	1
3423	4157	279.306	0.000	0.8157	0.6095	1
3423	4174	54.046	0.000	0.9204	0.6266	1
3423	4186	82.078	0.000	0.7286	0.6834	1
3423	4228	8.062	0.000	0.7424	0.5767	1
3423	4297	56.062	0.000	0.7738	0.6940	1
3423	4340	42.046	0.000	0.9336	0.7160	1
3423	4369	-100.053	0.000	0.8880	0.5763	1
3423	4400	-41.975	0.000	0.8942	0.6453	1
3423	4416	279.306	0.000	0.8029	0.5396	1
3423	4453	-13.980	0.000	0.8132	0.5008	1
3423	4479	2.015	0.000	0.9166	0.6249	1
3423	4498	-194.204	0.000	0.9190	0.6453	1
3423	4539	82.078	0.000	0.9195	0.6453	1
3423	4615	14.014	0.000	0.9224	0.6780	1
3423	4647	28.031	0.000	0.9184	0.6168	1
3423	4660	6.047	0.000	0.7712	0.6453	1
3423	4695	28.031	0.000	0.7243	0.5860	1
3423	4728	6.046	0.000	0.9269	0.6355	1
3423	4729	-43.990	0.000	0.9272	0.6453	1
3423	4745	4.031	0.000	0.9219	0.6406	1
3423	4783	14.015	0.000	0.7415	0.6482	1
3423	4807	-230.166	0.000	0.9103	0.6453	1
3423	4882	40.030	0.000	0.9143	0.6136	1
3423	4959	42.046	0.000	0.9271	0.6805	1
3423	4976	-72.021	0.000	0.9147	0.6398	1
3423	5004	-70.005	0.000	0.9097	0.6003	1
3423	5044	26.015	0.000	0.7600	0.6220	1
3423	5065	56.062	0.000	0.9190	0.6128	1
3423	5135	-17.953	0.000	0.9058	0.6442	1
3423	5192	-19.970	0.000	0.9208	0.6789	1
3423	5208	32.062	0.000	0.9234	0.6370	1
3423	5448	-88.015	0.000	0.8652	0.5307	1
3423	5462	6.047	0.000	0.9186	0.6205	1
3423	5531	2.016	0.000	0.7567	0.6633	1
3423	5591	0.000	0.000	0.8965	0.5594	1
3423	5616	8.063	0.000	0.9112	0.6172	1
3425	4200	14.016	0.000	0.8882	0.7515	1
3425	4607	-49.979	0.000	0.8471	0.5698	1
3425	4839	16.031	0.000	0.8074	0.6083	1
3427	3543	148.199	0.000	0.9119	0.6363	1
3427	3550	220.182	0.000	0.7393	0.6130	1
3427	3650	-10.021	0.000	0.9283	0.6363	1
3427	3663	164.156	0.000	0.8921	0.6002	1
3427	3698	16.101	0.000	0.9263	0.6368	1
3427	3777	278.261	0.000	0.9079	0.6074	1
3427	3785	336.376	0.000	0.8225	0.4832	1
3427	3794	38.088	0.000	0.8118	0.4714	1
3427	3821	224.211	0.000	0.9222	0.6656	1
3427	3828	360.377	0.000	0.8704	0.6145	1
3427	3840	250.229	0.000	0.9208	0.6363	1
3427	3842	-21.984	0.000	0.9278	0.6363	1
3427	3951	-116.026	0.000	0.9086	0.6097	1
3427	4050	262.229	0.000	0.9218	0.6363	1
3427	4051	32.099	0.000	0.9157	0.6140	1
3427	4059	240.245	0.000	0.9302	0.6656	1
3427	4095	39.994	0.000	0.9078	0.6291	1
3427	4123	250.229	0.000	0.7306	0.6363	1
3427	4126	208.219	0.000	0.7701	0.4315	1
3427	4174	262.229	0.000	0.9019	0.5919	1
3427	4182	-52.031	0.000	0.9078	0.6524	1
3427	4228	216.245	0.000	0.7173	0.5748	1
3427	4240	39.994	0.000	0.9232	0.6140	1
3427	4297	264.245	0.000	0.7320	0.6363	1
3427	4340	250.229	0.000	0.9130	0.6363	1
3427	4400	166.208	0.000	0.9114	0.6363	1
3427	4416	487.488	0.000	0.7831	0.4855	1
3427	4453	194.203	0.000	0.8279	0.5061	1
3427	4479	210.197	0.000	0.9233	0.6506	1
3427	4486	-67.968	0.000	0.9259	0.6074	1
3427	4497	178.171	0.000	0.8501	0.5020	1
3427	4498	13.979	0.000	0.9339	0.6363	1
3427	4500	-69.972	0.000	0.9247	0.6363	1
3427	4539	290.261	0.000	0.9170	0.6363	1
3427	4589	-24.000	0.000	0.9179	0.6624	1
3427	4613	208.220	0.000	0.8792	0.6062	1
3427	4615	222.197	0.000	0.9294	0.6363	1
3427	4647	236.214	0.000	0.9263	0.6671	1
3427	4660	214.229	0.000	0.7535	0.6363	1
3427	4728	214.229	0.000	0.9190	0.6142	1
3427	4729	164.193	0.000	0.9326	0.6656	1
3427	4745	212.214	0.000	0.9169	0.6363	1
3427	4783	222.198	0.000	0.7119	0.6220	1
3427	4804	122.107	0.000	0.9027	0.6074	1
3427	4807	-21.983	0.000	0.9304	0.6363	1
3427	4882	248.213	0.000	0.8951	0.5855	1
3427	4913	-19.969	0.000	0.9237	0.6363	1
3427	4959	250.229	0.000	0.9269	0.6363	1
3427	4961	-21.984	0.000	0.9313	0.5804	1
3427	4976	136.162	0.000	0.9079	0.6212	1
3427	4997	-43.967	0.000	0.9269	0.6857	1
3427	5004	138.178	0.000	0.9246	0.6544	1
3427	5044	234.198	0.000	0.7473	0.6463	1
3427	5065	264.245	0.000	0.9191	0.6158	1
3427	5070	150.179	0.000	0.8534	0.5188	1
3427	5135	190.229	0.000	0.9303	0.6363	1
3427	5192	188.213	0.000	0.9287	0.6656	1
3427	5208	240.245	0.000	0.9249	0.6540	1
3427	5300	-325.071	0.000	0.8765	0.5808	1
3427	5447	-17.952	0.000	0.9305	0.6656	1
3427	5448	120.168	0.000	0.9012	0.6066	1
3427	5462	214.229	0.000	0.9294	0.6633	1
3427	5531	210.198	0.000	0.7251	0.6313	1
3427	5591	208.183	0.000	0.9076	0.5861	1
3427	5593	-90.012	0.000	0.9071	0.6140	1
3427	5616	216.246	0.000	0.9208	0.6492	1
3428	3432	123.944	0.000	0.7338	0.5218	1
3428	3622	286.069	0.000	0.9495	0.7152	1
3428	3737	38.964	0.000	0.8578	0.5702	1
3428	3868	42.011	0.000	0.9793	0.8277	1
3428	3874	130.028	0.000	0.9012	0.6122	1
3428	3931	24.000	0.000	0.9740	0.8187	1
3428	3932	81.011	0.000	0.9319	0.5929	1
3428	3942	142.027	0.000	0.9086	0.6370	1
3428	3969	54.010	0.000	0.8261	0.4914	1
3428	4052	6.973	0.000	0.9565	0.7563	1
3428	4089	104.011	0.000	0.8605	0.5517	1
3428	4113	142.027	0.000	0.9110	0.6623	1
3428	4131	112.017	0.000	0.9500	0.6146	1
3428	4194	106.989	0.000	0.7569	0.5275	1
3428	4199	6.974	0.000	0.9034	0.6519	1
3428	4309	112.016	0.000	0.9582	0.6262	1
3428	4325	95.025	0.000	0.8729	0.5576	1
3428	4357	-50.016	0.000	0.9368	0.6281	1
3428	4420	-191.115	0.000	0.8600	0.6503	1
3428	4427	-175.121	0.000	0.8397	0.4168	1
3428	4437	215.980	0.000	0.7630	0.6373	1
3428	4463	-175.120	0.000	0.7638	0.3794	1
3428	4465	286.069	0.000	0.9383	0.7210	1
3428	4541	-67.044	0.000	0.9261	0.5422	1
3428	4547	304.080	0.000	0.8126	0.6154	1
3428	4573	142.937	0.000	0.9335	0.5664	1
3428	4605	304.080	0.000	0.8345	0.6889	1
3428	4617	286.069	0.000	0.9354	0.6984	1
3428	4624	112.016	0.000	0.9265	0.5525	1
3428	4627	-261.120	0.000	0.7641	0.4153	1
3428	4671	304.080	0.000	0.8152	0.6279	1
3428	4723	244.994	0.000	0.7409	0.4336	1
3428	4725	-32.005	0.000	0.9149	0.6446	1
3428	4733	84.021	0.000	0.9698	0.8053	1
3428	4802	286.069	0.000	0.9515	0.7305	1
3428	4803	48.985	0.000	0.8745	0.6162	1
3428	4931	-583.172	0.000	0.8825	0.5921	1
3428	4990	-35.037	0.000	0.9634	0.7397	1
3428	4999	144.954	0.000	0.9059	0.5846	1
3428	5175	56.026	0.000	0.8537	0.5139	1
3428	5188	-650.093	0.000	0.8072	0.3910	1
3428	5196	215.980	0.000	0.7630	0.6373	1
3428	5209	-50.016	0.000	0.9409	0.5904	1
3428	5308	166.995	0.000	0.7630	0.5280	1
3428	5316	56.026	0.000	0.8545	0.5351	1
3428	5384	-105.115	0.000	0.7388	0.4333	1
3428	5432	202.972	0.000	0.7005	0.3688	1
3428	5500	88.018	0.000	0.7804	0.6029	1
3428	5596	-44.063	0.000	0.7776	0.4385	1
3428	5598	-32.005	0.000	0.8917	0.5783	1
3428	5620	215.980	0.000	0.7001	0.5253	1
3429	3525	-57.020	0.000	0.8376	0.6956	1
3430	3491	-15.995	0.000	0.9429	0.7549	1
3430	4778	-14.017	0.000	0.9246	0.6840	1
3430	5035	-30.012	0.000	0.9350	0.7404	1
3431	3564	224.178	0.000	0.7581	0.3838	1
3431	3692	24.166	0.000	0.8003	0.3443	1
3431	4840	239.214	0.000	0.7866	0.5035	1
3432	3703	-16.954	0.000	0.7838	0.4837	1
3432	3737	-84.979	0.000	0.7126	0.4925	1
3432	3868	-81.933	0.000	0.7344	0.5247	1
3432	3931	-99.943	0.000	0.7205	0.5201	1
3432	3932	-42.933	0.000	0.7593	0.4494	1
3432	3942	18.083	0.000	0.7689	0.5959	1
3432	3969	-69.934	0.000	0.7128	0.4546	1
3432	4052	-116.971	0.000	0.7075	0.4225	1
3432	4089	-19.932	0.000	0.7069	0.4414	1
3432	4113	18.083	0.000	0.7675	0.5847	1
3432	4152	-119.000	0.000	0.7626	0.5278	1
3432	4194	-16.955	0.000	0.7774	0.5264	1
3432	4199	-116.970	0.000	0.7006	0.4574	1
3432	4420	-315.059	0.000	0.7005	0.5404	1
3432	4427	-299.064	0.000	0.7167	0.3957	1
3432	4617	162.125	0.000	0.7052	0.4602	1
3432	4733	-39.922	0.000	0.7558	0.5551	1
3432	4769	-14.938	0.000	0.7451	0.4577	1
3432	4990	-158.980	0.000	0.7134	0.4225	1
3432	4999	21.010	0.000	0.7434	0.4602	1
3432	5175	-67.917	0.000	0.7153	0.4297	1
3432	5308	43.052	0.000	0.7126	0.5481	1
3433	4543	18.010	0.000	0.7261	0.5615	1
3434	3648	-72.021	0.000	0.7249	0.5244	1
3434	3772	-0.000	0.000	0.9333	0.7906	1
3434	4117	2.015	0.000	0.7242	0.6533	1
3434	4358	-72.021	0.000	0.7510	0.7004	1
3434	4378	2.016	0.000	0.7678	0.6439	1
3434	4510	-72.021	0.000	0.7378	0.4913	1
3434	4716	52.068	0.000	0.7167	0.6717	1
