	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
methiin	0.340066777739969	0.0768941157261642
octopamine	0.18846827655715	0.504560172029582
2,3-di(acetyloxy)-3-cyano-1-[1,2-di(acetyloxy)ethyl]propyl acetate	-0.388552268223266	0.160827302682889
2,6-Nonadienoic acid	0.0965617193616561	0.687451715719249
DIMBOA-Glc	0.0691216529099684	0.785647647258394
arginine	-0.321928094887362	0.355917683749582
5-hydroxyindole	0.272482692211383	0.408637416588319
biopterin	0.0665872192843732	0.864349740176355
p-hydroxyhippuric acid	0.321928094887362	0.355917683749582
Diosmetin rutinoside	0.321928094887362	0.355917683749582
3-aminoadipic acid	0.556497711140001	0.016396420904055
simetryn	0.321928094887362	0.355917683749582
Leucyl-leucine	0.488135102827716	0.0977716876015486
2'-Hydroxyisoorientin	-0.268387451703749	0.494271166430918
quercetin	0.321928094887362	0.355917683749582
3-Hydroxy 4-Methoxy Cinnamic acid	0.0816827782853656	0.730455079315479
4-pyridoxic acid	0.395648924543387	0.193180041947569
N-(tetradecanoyl)ethanolamine	0.151466704082147	0.537195213911925
9-(methylsulfinyl)nonanoic acid	-0.228179390923703	0.419614478376451
vanillic acid	0.184219884454843	0.489644624212847
citric acid	0.321928094887362	0.355917683749582
2-methyl-1H-indole	0.391454040517893	0.23591098980092
1,5-anhydro-1-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-6-yl]hexitol	-0.221619098104694	0.508344358661582
Quercetin 3-(2-galloylglucoside)	0.321928094887362	0.355917683749582
3,4-dihydroxyphenylethyleneglycol	0.219842504119081	0.522961983514538
hexahomomethionine	0.321928094887362	0.355917683749582
octadec-17-ynoic acid	0.321928094887362	0.355917683749582
2-aminooctadecane-1,3-diol	-0.199378756565751	0.528843512399608
