CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
33	3279	-2.017	0.000	0.7676	0.5158	1
33	3417	-37.979	0.000	0.8290	0.6174	1
33	3637	-13.979	0.000	0.7900	0.5176	1
33	3761	-20.065	0.000	0.7833	0.5247	1
33	3802	-27.995	0.000	0.8263	0.6378	1
33	3955	-40.032	0.000	0.8676	0.6626	1
33	4083	28.032	0.000	0.8529	0.6640	1
33	4142	-14.015	0.000	0.8576	0.6640	1
33	4185	-42.010	0.000	0.8372	0.6428	1
33	4664	-37.979	0.000	0.8290	0.6174	1
33	5061	-59.963	0.000	0.8458	0.6002	1
33	5358	-0.000	0.000	0.8180	0.5277	1
33	5471	21.982	0.000	0.7658	0.5478	1
34	488	46.953	0.000	0.8438	0.5487	1
34	1182	151.048	0.000	0.8019	0.5921	1
34	1457	-362.221	0.000	0.7933	0.5199	1
34	2922	-235.073	0.000	0.9183	0.6417	1
34	3014	-200.165	0.000	0.7923	0.4977	1
34	3102	29.995	0.000	0.9044	0.6513	1
34	3399	151.048	0.000	0.7193	0.6550	1
34	4010	-475.100	0.000	0.7311	0.4283	1
34	4109	151.048	0.000	0.7811	0.5344	1
34	4951	133.037	0.000	0.8659	0.5347	1
34	4992	151.048	0.000	0.7925	0.6458	1
34	5273	151.048	0.000	0.7889	0.5770	1
34	5461	29.995	0.000	0.9076	0.6751	1
34	5482	62.948	0.000	0.8714	0.5528	1
34	5544	-16.032	0.000	0.9501	0.6868	1
35	256	-144.041	0.000	0.7116	0.3582	1
35	326	-196.036	0.000	0.8049	0.6523	1
35	904	-65.937	0.000	0.7101	0.4220	1
35	1454	-40.031	0.000	0.8928	0.6410	1
35	1476	-27.995	0.000	0.7604	0.6100	1
35	1481	123.127	0.000	0.7160	0.6877	1
35	1774	-42.046	0.000	0.9265	0.7809	1
35	1819	123.127	0.000	0.7749	0.7585	1
35	1928	2.017	0.000	0.8569	0.6143	1
35	1965	-13.978	0.000	0.9107	0.7396	1
35	2007	-19.968	0.000	0.7529	0.4468	1
35	2516	-85.999	0.000	0.7105	0.6665	1
35	2518	-33.983	0.000	0.8913	0.5924	1
35	2525	-58.042	0.000	0.7477	0.6401	1
35	2631	-56.024	0.000	0.7702	0.6239	1
35	2642	70.079	0.000	0.8807	0.6647	1
35	2672	-65.938	0.000	0.8523	0.7735	1
35	2689	174.090	0.000	0.7109	0.6431	1
35	2700	-11.999	0.000	0.8705	0.5254	1
35	2706	52.017	0.000	0.7230	0.5402	1
35	2707	-49.978	0.000	0.8120	0.4848	1
35	2842	-62.015	0.000	0.7696	0.4808	1
35	2892	-57.968	0.000	0.7242	0.7053	1
35	3074	14.017	0.000	0.7705	0.5255	1
35	3138	-118.005	0.000	0.8428	0.6767	1
35	3224	-119.984	0.000	0.7052	0.6299	1
35	3445	0.001	0.000	0.9240	0.6861	1
35	3610	-20.915	0.000	0.7209	0.7271	1
35	3742	-75.994	0.000	0.8295	0.6439	1
35	3885	-96.022	0.000	0.7391	0.5573	1
35	4047	88.053	0.000	0.7943	0.6365	1
35	4170	-71.984	0.000	0.7085	0.6965	1
35	4375	14.017	0.000	0.8990	0.7021	1
35	5041	0.001	0.000	0.9357	0.7547	1
35	5069	-14.015	0.000	0.9232	0.7318	1
