	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
2,4-dihydroxybenzaldehyde	-0.530519663143673	0.0214428052618168
N-Acetyl-proline	-0.00496684221635484	0.986302311056303
Methylone	0.27710709933121	0.419309463153951
indole-3-carbaldehyde	0.246038249142393	0.465238296756563
lysine	0.48778582141621	0.151574653136779
adenine	0.231902990068215	0.400739361931548
glutamine	0.513268290111337	0.125816080494743
quinolin-4-ol	0.358275325820243	0.248265746462204
Palmitoyl Serinol	-0.321928094887362	0.355917683749582
Tetrahydroneopterin	0.344405288119771	0.311766616762957
2-amino-9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one	0.366941718717297	0.208774912527056
9H-xanthine	-0.0521845260855684	0.863464704394055
methionine S-oxide	0.345167373899889	0.304147609227904
Tyrosyl-Proline	0.0800602184539362	0.835953075228671
Orientin 2''-rhamnoside	0.116254170275242	0.684670662630753
salicylic acid	-0.0263100025185339	0.927919448584127
(8E)-2-Amino-8-octadecene-1,3,4-triol	-0.147016099142161	0.574998937963756
theobromine	0.313162338941477	0.367062533374911
acetylagmatine	0.249927006528811	0.451045025266052
3-(1H-indol-3-yl)-2-(methylamino)propanoic acid	0.321928094887362	0.355917683749582
N-acetyl-5-aminosalicylic acid	-0.299823172358114	0.3851823017924
4-Methoxy-1H-indole-3-carbaldehyde	-0.498009513847626	0.148276606633154
phenylethanolamine	0.422185029507862	0.226362757670341
Tocopheronic acid	-0.138646361278922	0.673244425745226
allocryptopine	-0.321928094887362	0.355917683749582
2-Amino-1,3,4-octadecanetriol	-0.251390195616869	0.447455979203609
HMBOA-Glc	-0.321928094887362	0.355917683749582
tryptamine	-0.321928094887362	0.355917683749582
N-acetyldopamine	0.462161739086571	0.124944842069898
pipecolic acid	0.466536253352411	0.163081914362693
2-Methyl-4-carboxy-3,4,5,6-tetrahydropyrimidine	0.119997606305191	0.723151658570184
tryptophan	0.404748834964878	0.246749436512734
nicotinamide	0.267267614479912	0.342850503239199
1-Oleoylglycerophosphoserine	0.455421924661669	0.174333891105753
C17-sphinganine	0.321928094887362	0.355917683749582
Normetanephrine	-0.0843380859442777	0.77976367052315
guanine	0.289237016580231	0.293344612183876
protopine	-0.297778559195908	0.388084805514387
I(3)-Tocotrienol	0.246798312130868	0.47118147359424
luteolin	-0.307543108402203	0.363491611183554
[3-carboxy-2-(1-oxohexadecoxy)propyl]-trimethylammonium	0.0946470617972342	0.768628246283973
scopoletin	-0.0420618463203305	0.898810869758377
